화면 ID,화면위치,화면 이름,화면 및 기능 설명,비고,디렉토리 명,화면 url
Intro-001,인트로,챌린지 코드,유저가 챌린지 코드 입력을 통해 프로그램에 입장할 수 있는 페이지.,,challenge-code,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-22817&t=CKO2LZQ2pEBcvwvo-4
Intro-002,,챌린지 소개,유저가 챌린지 코드 입력 후  챌린지 내용을 확인하는 페이지.,슬라이드,challenge-intro,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-22880&t=CKO2LZQ2pEBcvwvo-4
Intro-003,,건강 설문 시작 안내 1 (Before),유저의 챌린지 시작 전  초기 건강 설문 진행을 안내하는 페이지,,question-intro,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23294&t=CKO2LZQ2pEBcvwvo-4
Intro-004,,건강 설문 페이지 1,피부 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-005 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23013&t=CKO2LZQ2pEBcvwvo-4
Intro-005,,건강 설문 페이지 2,대사 밸런스 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-006 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23153&t=CKO2LZQ2pEBcvwvo-4
Intro-006,,건강 설문 페이지 3,장 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-007 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23083&t=CKO2LZQ2pEBcvwvo-4
Intro-007,,건강 설문 페이지 4,면역 과민 반응 카테고리 : 5문항 : 5지선다의 설문 페이지,모든 설문 완료 후 다음 버튼 클릭 시 Intro-008 화면으로 이동,question,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23223&t=CKO2LZQ2pEBcvwvo-4
Intro-008,,설문 분석 로딩 (Before),유저의 설문 종료 후  /APP 설문/  검사 결과/  검사 설문을 종합적으로 분석 중임을 알려주는 페이지,로딩 Bar,Intro-loading,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23658&t=CKO2LZQ2pEBcvwvo-4
Intro-009,,나의 유형 분석 1 (인트로),유저의 종합 분석 결과를 보여주는 페이지,4 유형 - intro-004~7의 결과를 종합하여 유형 도출 예정(알고리즘 연결 전),analysis,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23658&t=CKO2LZQ2pEBcvwvo-4
Home-001,홈,홈 (시작 전),유저의 현 상태 및 앞으로 진행 될 내용을 보여주는 페이지,startDt가 today보다 클 경우 표출,home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2289-36091&t=CKO2LZQ2pEBcvwvo-4
Home-002,,홈 (진행 중),"유저의 현 상태 및 수행 가능한 미션을 보여주는 페이지 
하단 영역에서 클릭 시 각 페이지로 이동 : 퀴즈 - Home-016  루틴 - Home-011  식단: Home-007  영양제(darae) - Home-009  공복시간 - Home-008  수면 - Home-010  미션 -Home-014  상단의 1~7일차 이내일경우: 자기선언문 노출(Home-012) / 상단의 10~15일차일 경우 : 자기 칭찬문 노출(Home-013)",,home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23312&t=CKO2LZQ2pEBcvwvo-4
Home-003,,홈 (챌린지 종료),유저의 완료 상태 노출,"endDt가 today보다 작을 경우 표출
미션 영역 
* After 건강 설문
* B&A 결과 노출",home,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23428&t=CKO2LZQ2pEBcvwvo-4
Home-004,,나의 유형 분석 2,유형 분석 결과를 확인하는 페이지,intro-009와 화면 구성이 같음.,home-usertype,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24404&t=CKO2LZQ2pEBcvwvo-4
Home-005,,유형 분석 전체 보기,4유형 분석 중 선택하여 결과 보여주기.,,home-usertype-1,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24356&t=CKO2LZQ2pEBcvwvo-4
Home-007,,식단 기록,유저가 식단을 기록하는 페이지,,meal,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26256&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26195&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26517&t=CKO2LZQ2pEBcvwvo-4
Home-008,,공복 기록,유저가 공복 시간을 기록하는 페이지,,starve,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26317&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26370&t=CKO2LZQ2pEBcvwvo-4
Home-009,,영양제 기록,유저가 영양제 섭취를 기록하는 페이지,,darae,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26013&t=CKO2LZQ2pEBcvwvo-4
Home-010,,수면 기록,유저가 수면 시간을 기록하는 페이지,,sleep,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-25961&t=CKO2LZQ2pEBcvwvo-4
Home-011,,아랑 루틴 기록,유저가 아랑 루틴 수행을 기록하는 페이지,,routin,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-25915&t=CKO2LZQ2pEBcvwvo-4
Home-012,,자기 선언문 기록,유저가 1일차에 자기 선언문을 작성하는 페이지,,self-write,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26066&t=CKO2LZQ2pEBcvwvo-4
Home-013,,자기 칭찬 기록,유저가 10일차에 자기 칭찬을 작성하는 페이지,,self-my,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26154&t=CKO2LZQ2pEBcvwvo-4
Home-014,,1일 1미션 기록,유저가 1일 1미션 내용을 읽고 사진을 업로드하는 페이지.,매일 날짜에 따라 미션 내용과 이미지가 바뀌며  미션에 따라 사진으로 응답 또는  텍스트로 응답 하는 경우 있음,mission,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2289-36157&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2338-5218&t=CKO2LZQ2pEBcvwvo-4
Home-015,,포인트 지급 화면,유저가 포인트 지급 조건을 충족한 경우  포인트가 지급되는 페이지,Home-017화면(팝업) 후 표출 예정.별도 페이지로 따지 않고 Home-007~014  016 기록 완료 후 해당 화면을 모달 팝업 형태로 표출,,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26624&t=CKO2LZQ2pEBcvwvo-4
Home-016,,퀴즈 콘텐츠 기록,유저가 퀴즈 콘텐츠를 진행하는 페이지,,quiz,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-29735&t=CKO2LZQ2pEBcvwvo-4 https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-29778&t=CKO2LZQ2pEBcvwvo-4 https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-29818&t=CKO2LZQ2pEBcvwvo-4
Home-017,,기록 완료,유저가 미션이 없는 기록을 완료를 알려주는 페이지,별도 페이지로 따지 않고 Home-007~014  016 기록 완료 후 해당 화면을 모달 팝업 형태로 표출,,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-26641&t=CKO2LZQ2pEBcvwvo-4
Cont-001,콘텐츠,콘텐츠 목록,유저가 바이오컴 콘텐츠 목록을 확 할 수 있는 페이지,,content,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23923&t=CKO2LZQ2pEBcvwvo-4
Cont-002,,콘텐츠 상세,유저가 바이오컴 콘텐츠를 확인할 수 있는 페이지,개발안함!!!!,,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24010&t=CKO2LZQ2pEBcvwvo-4
AI-001,바이오컴 AI ,AI 챗봇,유저가 본인 검사 기반의 AI 챗봇을 사용할 수 있는 페이지,,chat,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-24180&t=CKO2LZQ2pEBcvwvo-4
Lab-001,검사결과,검사 결과,유저가 본인의 음식물 과민증 검사 결과를 확 할 수 있는 페이지,,report,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2246-24551&t=CKO2LZQ2pEBcvwvo-4
My-001,마이페이지,마이페이지,유저가 계정 및 서비스에 관련한 세부 사항을 확인할 수 있는 페이지,,mypage,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2233-23741&t=CKO2LZQ2pEBcvwvo-4
My-003,,결과지,유저가 음식물 과민증 검사 결과를 확인할 수 있는 페이지,Lab-001 와 같은 화면임. 공통으로 활용예정.,report,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2246-24551&t=CKO2LZQ2pEBcvwvo-4
My-004,,식사 일지,유저가 식사 일지를 확인할 수 있는 페이지,,food-journal,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2246-24641&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2246-24926&t=CKO2LZQ2pEBcvwvo-4
My-005,,미션 일지,유저가 미션 수행 및 이행률 관련 내용을 확인하는 페이지.,,mission-journal,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2246-25006&t=CKO2LZQ2pEBcvwvo-4  https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2344-132&t=CKO2LZQ2pEBcvwvo-4
My-006,,나의 유형 분석 3 (Before),유저가 초기 설문 기반의 유형 분석 결과를 확인하는 페이지,"Home-004 와 상단 토글 제외 구성이 같음.
토글이 before일 경우",my-type,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2344-132&t=CKO2LZQ2pEBcvwvo-4
My-007,,나의 유형 분석 4 (진행 중),My-007 페이지 입장 시  챌린지가 진행 중인 경우,My-006 에서 상단 토글이 after인 경우  endDt가 today보다 클 경우 표출,my-type,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25148&t=CKO2LZQ2pEBcvwvo-4
My-008,,나의 유형 분석 4 (설문 미진행),My-007 페이지 입장 시  챌린지가 완료하였으나  After 건강 설문을 진행하지 않은 경우,My-006 에서 상단 토글이 after인 경우  endDt가 today와 같거나 같고  after 설문(my-010 이후) 진행 전일 경우 표출,my-type,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25182&t=CKO2LZQ2pEBcvwvo-4
My-009,,나의 유형 분석 4 (After),유저가 챌린지 종료 건강 설문 기반의 Before&After 결과를 확인하는 페이지,My-006 에서 상단 토글이 after인 경우  endDt가 today와 같거나 같고  after 설문(my-010 이후) 진행 완료일 경우 표출,my-type,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25277&t=CKO2LZQ2pEBcvwvo-4
MY-010,,건강 설문 시작 안내 2 (After),유저가 챌린지 종료 후 건강 설문 진행을 안내하는 페이지,My-006 에서 상단 토글이 after인 경우  endDt가 today와 같거나 같고  after 설문(my-010 이후) 진행 전일 경우 표출되는 버튼을 통해 이동됨.,after-qeustion,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2257-25877&t=CKO2LZQ2pEBcvwvo-4
MY-011,,건강 설문 페이지 1 (After),피부 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25431&t=CKO2LZQ2pEBcvwvo-4
MY-012,,건강 설문 페이지 2 (After),대사 밸런스 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25571&t=CKO2LZQ2pEBcvwvo-4
MY-013,,건강 설문 페이지 3 (After),장 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25501&t=CKO2LZQ2pEBcvwvo-4
MY-014,,건강 설문 페이지 4 (After),면역 과민 반응 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25641&t=CKO2LZQ2pEBcvwvo-4
MY-015,,설문 분석 로딩 (After),유저의 설문 종료 후  APP 설문  챌린지 수행을 종합적으로 분석 중임을 알려주는 페이지,,after-analysis,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25746&t=CKO2LZQ2pEBcvwvo-4
MY-016,,고객센터,유저가 자주 묻는 질문과 문의 관련 사항을 확인 할 수 있는 페이지,,qna,https://www.figma.com/design/C4GW2e5wXBJnNMeZi2byyv/%EB%B0%94%EC%9D%B4%EC%98%A4%EC%BB%B4?node-id=2252-25712&t=CKO2LZQ2pEBcvwvo-4